PATH,LEVEL,ENTITY NAME,ENTITY DESCRIPTION,DEFINITION NAME,LAYER,ENTITY VOLUME,X,Y,Z,LENX,LENY,LENZ,MATERIAL,
"Model/Component#2/Component#9/Component#13/Component#12","5","","","Component#12","Layer0","","31.468665","7.212556","50.980178","7.267044","21.150056","24.237741","LightGray",
"Model/Component#2/Component#9/Component#13/Component#12","5","","","Component#12","Layer0","","34.754664","7.212556","52.614167","7.267044","21.150056","24.237741","LightGray",
"Model/Component#2/Component#9/Component#13/Component#12","5","","","Component#12","Layer0","","38.351602","7.212556","53.342001","7.267044","21.150056","24.237741","LightGray",
"Model/Component#2/Component#9/Component#13/Component#12","5","","","Component#12","Layer0","","43.880047","7.212556","26.020543","7.267044","21.150056","24.237741","LightGray",
"Model/Component#2/Component#9/Component#13/Component#12","5","","","Component#12","Layer0","","36.620356","7.212556","25.520632","7.267044","21.150056","24.237741","LightGray",
"Model/Component#2/Component#9/Component#13/Component#12","5","","","Component#12","Layer0","","33.141399","7.212556","26.688779","7.267044","21.150056","24.237741","LightGray",
"Model/Component#2/Component#9/Component#13/Component#12","5","","","Component#12","Layer0","","30.083324","7.212556","28.717542","7.267044","21.150056","24.237741","LightGray",
"Model/Component#2/Component#9/Component#13/Component#12","5","","","Component#12","Layer0","","27.654532","7.212556","31.468665","7.267044","21.150056","24.237741","LightGray",
"Model/Component#2/Component#9/Component#13/Component#12","5","","","Component#12","Layer0","","26.020543","7.212556","34.754664","7.267044","21.150056","24.237741","LightGray",
"Model/Component#2/Component#9/Component#13/Component#12","5","","","Component#12","Layer0","","40.283108","7.212556","25.292709","7.267044","21.150056","24.237741","LightGray",
"Model/Component#2/Component#9/Component#14","4","","","Component#14","Layer0","","2.543515","0.0","-2.362205","21.051226","40.787344","171.3212","Color_007",
"Model/Component#2/Component#9/Component#14/Component#16","5","","","Component#16","Layer0","","2.094652","2.094652","-0.393701","12.328312","12.328312","9.30402","",
"Model/Component#2/Component#9/Component#14/Component#16/Component#17","6","","","Component#17","Layer0","5.1733722","5.883147","5.883147","-0.644211","2.834286","5.883147","2.864733","",
"Model/Component#2/Component#9/Component#14/Component#16/Component#17","6","","","Component#17","Layer0","5.1733722","5.883147","5.883147","-0.644211","2.834286","5.883147","2.864733","",
"Model/Component#2/Component#9/Component#14/Component#16/Component#17","6","","","Component#17","Layer0","5.1733722","5.883147","5.883147","-0.644211","2.834286","5.883147","2.864733","",
"Model/Component#2/Component#9/Component#14/Component#16/Component#17","6","","","Component#17","Layer0","5.1733722","5.883147","5.883147","-0.644211","2.834286","5.883147","2.864733","",
"Model/Component#2/Component#9/Component#14/Component#16/Component#17","6","","","Component#17","Layer0","5.1733722","5.883147","5.883147","-0.644211","2.834286","5.883147","2.864733","",
"Model/Component#2/Component#9/Component#14/Component#16/Component#17","6","","","Component#17","Layer0","5.1733722","5.883147","5.883147","-0.644211","2.834286","5.883147","2.864733","",
"Model/Component#2/Component#9/Component#14/Component#16/Component#17","6","","","Component#17","Layer0","5.1733722","5.883147","5.883147","-0.644211","2.834286","5.883147","2.864733","",
"Model/Component#2/Component#9/Component#14/Component#16/Component#17","6","","","Component#17","Layer0","5.1733722","5.883147","5.883147","-0.644211","2.834286","5.883147","2.864733","",
"Model/Component#2/Component#9/Component#14/Component#18","5","","","Component#18","Layer0","","1.656919","1.656919","-5.367012","19.145683","24.008505","66.888076","",
"Model/Component#2/Component#9/Component#20","4","","","Component#20","Layer0","0.8144995","11.68147","8.199247","-2.362205","3.848028","2.943372","2.117494","",
"Model/Component#2/Component#9/Component#20","4","","","Component#20","Layer0","0.8144995","11.584623","8.491972","-2.362205","3.848028","2.943372","2.117494","",
"Model/Component#2/Component#9/Component#20","4","","","Component#20","Layer0","0.8144995","11.415314","8.749656","-2.362205","3.848028","2.943372","2.117494","",
"Model/Component#2/Component#9/Component#20","4","","","Component#20","Layer0","0.8144995","11.18508","8.95474","-2.362205","3.848028","2.943372","2.117494","",
"Model/Component#2/Component#9/Component#20","4","","","Component#20","Layer0","0.8144995","10.299865","9.137955","-2.362205","3.848028","2.943372","2.117494","",
"Model/Component#2/Component#9/Component#20","4","","","Component#20","Layer0","0.8144995","10.607681","9.155739","-2.362205","3.848028","2.943372","2.117494","",
"Model/Component#2/Component#9/Component#20","4","","","Component#20","Layer0","0.8144995","10.00714","9.041108","-2.362205","3.848028","2.943372","2.117494","",
"Model/Component#2/Component#9/Component#20","4","","","Component#20","Layer0","0.8144995","10.909612","9.093248","-2.362205","3.848028","2.943372","2.117494","",
"Model/Component#2/Component#9/Component#20","4","","","Component#20","Layer0","0.8144995","11.293171","7.083797","-2.362205","3.848028","2.943372","2.117494","",
"Model/Component#2/Component#9/Component#20","4","","","Component#20","Layer0","0.8144995","11.498255","7.314031","-2.362205","3.848028","2.943372","2.117494","",
"Model/Component#2/Component#9/Component#20","4","","","Component#20","Layer0","0.8144995","11.699253","7.89143","-2.362205","3.848028","2.943372","2.117494","",
"Model/Component#2/Component#9/Component#20","4","","","Component#20","Layer0","0.8144995","11.636762","7.5895","-2.362205","3.848028","2.943372","2.117494","",
"Model/Component#2/Component#9/Component#20","4","","","Component#20","Layer0","0.8144995","10.742761","6.817642","-2.362205","3.848028","2.943372","2.117494","",
"Model/Component#2/Component#9/Component#20","4","","","Component#20","Layer0","0.8144995","10.434945","6.799858","-2.362205","3.848028","2.943372","2.117494","",
"Model/Component#2/Component#9/Component#20","4","","","Component#20","Layer0","0.8144995","11.035486","6.914488","-2.362205","3.848028","2.943372","2.117494","",
"Model/Component#2/Component#9/Component#20","4","","","Component#20","Layer0","0.8144995","11.293171","7.083797","-2.362205","3.848028","2.943372","2.117494","",
"Model/Component#2/Component#9/Component#20","4","","","Component#20","Layer0","0.8144995","9.627312","7.20594","-2.362205","3.848028","2.943372","2.117494","",
"Model/Component#2/Component#9/Component#20","4","","","Component#20","Layer0","0.8144995","9.458003","7.463625","-2.362205","3.848028","2.943372","2.117494","",
"Model/Component#2/Component#9/Component#20","4","","","Component#20","Layer0","0.8144995","9.857546","7.000856","-2.362205","3.848028","2.943372","2.117494","",
"Model/Component#2/Component#9/Component#20","4","","","Component#20","Layer0","0.8144995","10.133015","6.862349","-2.362205","3.848028","2.943372","2.117494","",
"Model/Component#2/Component#9/Component#20","4","","","Component#20","Layer0","0.8144995","9.361156","7.75635","-2.362205","3.848028","2.943372","2.117494","",
"Model/Component#2/Component#9/Component#20","4","","","Component#20","Layer0","0.8144995","9.544371","8.641565","-2.362205","3.848028","2.943372","2.117494","",
"Model/Component#2/Component#9/Component#20","4","","","Component#20","Layer0","0.8144995","9.343373","8.064166","-2.362205","3.848028","2.943372","2.117494","",
"Model/Component#2/Component#9/Component#20","4","","","Component#20","Layer0","0.8144995","9.405864","8.366097","-2.362205","3.848028","2.943372","2.117494","",
"Model/Component#2/Component#9/Component#20","4","","","Component#20","Layer0","0.8144995","9.749455","8.871799","-2.362205","3.848028","2.943372","2.117494","",
"Model/Component#2/Component#9/Component#22","4","","","Component#22","Layer0","","9.801931","16.34741","-2.755906","10.321839","26.413337","111.003434","",
"Model/Component#2/Component#9/Component#21","4","","","Component#21","Layer0","","7.05635","7.304976","0.0","12.276552","4.940974","1.181102","",
"Model/Component#2/Component#23","3","","","Component#23","Layer0","","53.421166","59.612421","178.589192","12.946221","9.636998","20.535942","",
"Model/Component#2/Component#23","3","","","Component#23","Layer0","","60.268885","27.16668","178.589192","12.946221","9.636998","20.535942","",
"Model/Component#2/Component#23","3","","","Component#23","Layer0","","20.975424","52.764702","178.589192","12.946221","9.636998","20.535942","",
"TOTALS","-","-","-","-","-","62.606212","-","-","-","-","-","-","-",
